Title,Reference,Publication Date,Risk Level,Impact Level,Affected Systems,Vulnerability Summary,Solution,URL
Deux zero-day corrigés dans les produits Apple,45040112/23,01 décembre 2023,Critique,Critique,"iOS versions 17.1.x antérieures à 17.1.2, iOS versions 16.7.x antérieures à 16.7.2, iPadOS versions 16.7.x antérieures à 16.7.2, iPadOS versions 17.1.x antérieures à 17.1.2","Apple a publié des mises à jour de sécurité corrigeant deux zero-day affectant les produits susmentionnés. Ces vulnérabilités identifiée sous « CVE-2023-42916, CVE-2023-42917» sont activement exploitées permettant à un attaquant d’exécuter du code arbitraire et de porter atteinte à la confidentialité des données.",Veuillez se référer aux bulletins de sécurité Apple du 30 Novembre 2023.,https://www.dgssi.gov.ma/fr/bulletins/deux-zero-day-corriges-dans-les-produits-apple
Vulnérabilité critique dans le package « npm systeminformation »,51662612/24,26 décembre 2024,Critique,Critique,systeminformation ( npm ) version antérieure à 5.23.7,Une vulnérabilité critique d'injection de commande a été corrigée dans le populaire package « npm systeminformation ». L’exploitation de cette faille pourrait permettre à un attaquant d’exécuter du code arbitraire à distance et réussir une élévation de privilèges.,Veuillez se référer au bulletin de sécurité systeminformation  pour plus d’information.,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilite-critique-dans-le-package-npm-systeminformation
Vulnérabilité affectant Cisco Webex for BroadWorks,53040503/25,05 mars 2025,Modéré,Modéré,Cisco Webex for BroadWorks Version 45.2,Cisco annonce la correction d’une vulnérabilité affectant la version susmentionnée de son produit Cisco Webex for BroadWorks. L’exploitation de cette vulnérabilité peut permettre à un attaquant d’accéder à des informations confidentielles.,Veuillez se référer aux bulletins de sécurité de Cisco pour installer les mises à jour.,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilite-affectant-cisco-webex-broadworks
Vulnérabilités dans les produits Juniper,44301310/23,13 octobre 2023,Important,Important,"Junos OS Evolved versions antérieures à 20.4R3-S8-EVO, 21.1R3-S2-EVO, 21.2R3-S6-EVO, 21.3R3-S5-EVO, 21.4R3-S5-EVO, 22.1R3-S4-EVO, 22.2R3-S3-EVO, 22.3R3-S1-EVO, 22.4R3-EVO, 23.1R2-EVO, 23.2R1-S1-EVO, 23.2R2-EVO, 23.3R1-EVO, Junos OS sur les séries MX versions antérieures à 20.4R3-S7, 21.1R3-S5, 21.2R3-S4, 21.3R3-S4, 21.4R3-S3, 22.1R3-S1, 22.2R2-S1, 22.2R3, 22.3R1-S2, 22.3R2, 22.4R1, Junos OS séries QFX5000 versions antérieures à 20.4R3-S6, 21.1R3-S5, 21.2R3-S5, 21.3R3-S4, 21.4R3-S3, 22.1R3-S2, 22.2R2-S2, 22.2R3, 22.3R2-S1, 22.3R3, 22.4R1-S2, 22.4R2, 23.2R1, Junos OS versions antérieures à 20.2R3-S6, 20.3R3-S5, 20.4R3-S9, 21.1R3-S5, 21.2R3-S6, 21.3R3-S5, 21.4R3-S5, 22.1R3-S4, 22.2R2-S2, 22.2R3-S2, 22.3R1-S2, 22.3R2-S2, 22.3R3-S1, 22.4R1-S2, 22.4R2-S2, 22.4R3, 23.1R2, 23.2R2, 23.3R1,","Juniper annonce la correction de plusieurs vulnérabilités dans les produits susmentionnés. L'exploitation réussie de ces vulnérabilités pourrait permettre à un attaquant de réussir une élévation de privilèges, de causer un déni de service, de contourner la politique de sécurité et de porter  atteinte à la confidentialité des données.",Veuillez se référer au bulletin de sécurité Juniper du 11 Octobre 2023 pour plus d’information.,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-dans-les-produits-juniper-0
Vulnérabilités dans les produits IBM,40801403/23,14 mars 2023,Modéré,Modéré,"IBM QRadar WinCollect Agent versions 10.x antérieures à 10.1.3, IBM Cognos Analytics versions 11.2.x antérieures à 11.2.3, IBM Cognos Analytics versions 11.1.x antérieures à 11.1.7 avec le dernier correctif de sécurité (Fix Pack 6)","Plusieurs vulnérabilités ont été corrigées dans les produits IBM susmentionnés. L’exploitation de ces failles pourrait permettre à un attaquant de porter atteinte à la confidentialité des données, de contourner la politique de sécurité, de causer un déni de service à distance et de réussir une exécution de code arbitraire à distance.",Veuillez se référer au bulletin de sécurité IBM du 10 Mars 2023 pour plus d’information.,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-dans-les-produits-ibm
VULNÉRABILITÉS DANS APACHE STRUTS 2,42421506/23,15 juin 2023,Important,Important,"Apache Struts 2 versions antérieures à 2.5.31, Apache Struts 2 versions antérieures à 6.1.2",Apache annonce la correction des deux vulnérabilités « CVE-2023-34149 et CVE-2023- 34396» affectant les versions susmentionnées d'Apache Struts. L’exploitation de ces vulnérabilités peut permettre à un attaquant de causer un déni de service sur les installations vulnérables.,Veuillez se référer au bulletin de sécurité Apache du 13 Juin 2023 afin d’installer les nouvelles mises à jour.,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-dans-apache-struts-2
Vulnérabilités critiques dans VMware vCenter,50432310/24,23 octobre 2024,Critique,Critique,"VMware vCenter Server   versions antérieures à 8.0 U3d, VMware vCenter Server   versions antérieures à 8.0 U2e, VMware vCenter Server   versions antérieures à 7.0 U3t",VMware a déterminé que les correctifs vCenter publiés le 17 septembre 2024 ne traitaient pas entièrement les vulnérabilités « CVE-2024-38812 et CVE-2024-38813 ». Les utilisateurs des versions affectées de vCenter sont fortement invités à appliquer les nouveaux correctifs. L’exploitation de ces failles peut permettre à un attaquant de réussir une élévation de privilèges et d’exécuter du code arbitraire à distance.,"Veuillez se référer au bulletin de sécurité VMware du 22 Octobre 2024, pour plus de détails.",https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-critiques-dans-vmware-vcenter
Vulnérabilités dans les produits NVIDIA,50972011/24,20 novembre 2024,Critique,Critique,"NVIDIA Base Command Manager version antérieure à 10.24.09a, DLS component of NVIDIA License System version antérieure à  DLS v3.4 et v3.1.4","Deux vulnérabilités critiques ont été corrigées dans le composant CMDaemon de NVIDIA Base Command Manager. L’exploitation de ces failles pourrait potentiellement permettre à un attaquant d'exécuter du code, de provoquer un déni de service, d'élever ses privilèges et de divulguer des informations confidentielles.",Veuillez se référer au bulletin de sécurité NVIDIA du 18 Novembre  2024 pour plus d’information.,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-dans-les-produits-nvidia-0
Vulnérabilités dans les produits Apple,49481809/24,18 septembre 2024,Important,Important,"iOS et iPadOS versions antérieures à 17.7, iOS et iPadOS versions antérieures à 18, macOS Sequoia versions antérieures à 15, macOS Sonoma versions antérieures à 14.7, macOS Ventura versions antérieures à 13.7, Safari versions antérieures à 18, tvOS versions antérieures à 18, visionOS versions antérieures à 2, watchOS 11 versions antérieures à 11, Xcode versions antérieures à 16","Apple a publié des mises à jour de sécurité d'urgence pour corriger plusieurs  vulnérabilités affectant les produits susmentionnés. L’exploitation de ces vulnérabilités peut permettre à un attaquant de porter atteinte à la confidentialité des données, de réussir une élévation de privilèges, de causer un déni de service et de contourner la politique de sécurité.",Veuillez se référer au bulletin de sécurité Apple 16 septembre 2024 pour plus d’information.,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-dans-les-produits-apple-1
VULNÉRABILITÉS DANS ARUBA EDGECONNECT ENTERPRISE,42042505/23,25 mai 2023,Important,Important,"Aruba EdgeConnect Enterprise avec ECOS versions 9.3.x antérieures à 9.3.0.0, Aruba EdgeConnect Enterprise avec ECOS versions 9.2.x antérieures à 9.2.4.0, Aruba EdgeConnect Enterprise avec ECOS versions 9.1.x antérieures à 9.1.6.0, Aruba EdgeConnect Enterprise avec ECOS versions 9.0.x antérieures à 9.0.9.0",Plusieurs vulnérabilités ont été corrigées dans les versions susmentionnées d’Aruba EdgeConnect Enterprise. L’exploitation de ces failles pourrait permettre à un attaquant d’exécuter du code arbitraire à distance et de porter atteinte à la confidentialité des données.,Veuillez se référer au bulletin de sécurité Aruba du 24 mai 2023 pour plus d’information.,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-dans-aruba-edgeconnect-enterprise
Vulnérabilité critique dans Ivanti virtual Traffic Manager,48791508/24,15 août 2024,Critique,Critique,"Virtual Traffic Manager versions 22.2, 22.3, 22.3R2, 22.5R1, 22.6R1 et 22.7R1.",Ivanti a publié des mises à jour corrigeant une vulnérabilité critique (CVE-2024-7593) dans son gestionnaire de trafic virtuel. L'exploitation réussie de la vulnérabilité peut permettre à un attaquant de contourner l'authentification et de créer un utilisateur administrateur. Ivanti confirme que l’exploit (Proof of Concept) de cette critique faille est disponible publiquement.,Veuillez se référer au bulletin de sécurité Ivanti afin d’installer les nouvelles mises à jour.,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilite-critique-dans-ivanti-virtual-traffic-manager
Zero-day critique corrigée dans Google Chrome,45292112/23,21 décembre 2023,Critique,Critique,"Google Chrome pour Mac et Linux version antérieure à 120.0.6099.129, Google Chrome pour Windows version antérieure à 120.0.6099.129/130","Google a corrigé une vulnérabilité critique dans son navigateur Google Chrome de type Zero-day, ayant comme référence « CVE-2023-7024». L’exploitation de cette faille peut permettre à un attaquant d’exécuter du code arbitraire et de prendre le contrôle du système affecté. Google confirme que la faille est activement exploitée.",Veuillez se référer au bulletin de sécurité Google Chrome  du 20 Décembre 2023 afin d’installer les nouvelles mises à jour.,https://www.dgssi.gov.ma/fr/bulletins/zero-day-critique-corrigee-dans-google-chrome
Vulnérabilités dans les produits Jenkins,49900410/24,04 octobre 2024,Important,Important,"Jenkins 2.478 et versions antérieures,, LTS 2.462.2 et versions antérieures, Credentials Plugin version antérieure à 1381.v2c3a_12074da_b_, OpenId Connect Authentication Plugin version antérieure à 4.355.v3a_fb_fca_b_96d4",Jenkins a publié un avis de sécurité corrigeant de multiples vulnérabilités affectant son système et plusieurs plugins. Ces vulnérabilités pourraient potentiellement exposer des informations sensibles ou permettre des actions non autorisées dans les environnements Jenkins.,Veuillez se référer au bulletin de sécurité Jenkins du 02 Octobre 2024.,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-dans-les-produits-jenkins
Vulnérabilités dans les produits VMware,48022706/24,27 juin 2024,Important,Important,"VMware vCenter Server versions 8.0.x antérieures à 8.0 U3, VMware vCenter Server versions 7.0.x antérieures à 7.0 U3q, VMware Cloud Foundation versions 4.x et 5.x, VMWare ESXi versions 8.0.x sans le correctif de sécurité ESXi80U3-24022510, VMWare ESXi versions 7.0.x sans le correctif de sécurité ESXi70U3sq-23794019 pour la vulnérabilité CVE-2024-37086, VMWare ESXi versions 7.0.x",VMware annonce la correction de trois vulnérabilités affectant les produits susmentionnés. L’exploitation de ces vulnérabilités peut  permettre  à un attaquant distant de causer un déni de service et de contourner la politique de sécurité.,Veuillez se référer au bulletin de sécurité Broadcom pour plus d’infirmation.,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-dans-les-produits-vmware-3
Vulnérabilités dans IBM Db2,41630305 /23,03 mai 2023,Modéré,Modéré,Db2 REST versions antérieures à 1.0.0.266-amd64,Plusieurs vulnérabilités ont été corrigées dans les versions IBM Db2 susmentionnées. Un attaquant distant pourrait exploiter certaines de ces vulnérabilités pour causer un déni de service et de prendre le contrôle du système affecté.,Veuillez se référer au bulletin de sécurité IBM du 01 Mai 2023 afin d’installer les nouvelles mises à jour.,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-dans-ibm-db2
VULNÉRABILITÉ DANS SOPHOS UTM,39241511/22,15 novembre 2022,Modéré,Modéré,"contact-dsr@dgssi.gov.ma, Tél : +212 5 37 54 03 95, Fax : +212 5 37 71 39 73",Une vulnérabilité a été corrigée dans Sophos UTM. L’exploitation de cette faille peut permettre à un attaquant de causer un problème de sécurité non spécifié.,Veuillez se référer au bulletin de sécurité de Sophos du 09 Novembre 2022 afin d’installer les nouvelles mises à jour.,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilite-dans-sophos-utm
Vulnérabilités dans les produits Splunk,48130507/24,05 juillet 2024,Important,Important,"Splunk Enterprise versions 9.2.x antérieures à 9.2.2, Splunk Enterprise versions 9.1.x antérieures à 9.1.5, Splunk Enterprise versions 9.0.x antérieures à 9.0.10, Splunk Cloud Platform versions antérieures à 9.1.2308.207, Splunk Cloud Platform versions 9.1.2312.x antérieures à 9.1.2312.109",Splunk a publié une mise à jour de sécurité pour corriger deux vulnérabilités dans les produits susmentionnés. L’exploitation de ces failles peut permettre à un attaquant de causer un déni de service et d’exécuter du code arbitraire à distance.,Veuillez se référer au bulletin de sécurité Splunk du 01 Juillet 2024 pour plus d’information.,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-dans-les-produits-splunk-2
Vulnérabilités affectant plusieurs produits de VMware,42532306/23,23 juin 2023,Important,Important,"Cloud Foundation versions 7.0 antérieures à la version 7.0 U3m, Cloud Foundation versions 8.0 antérieures à la version 8.0 U1b, vCenter Server versions 7.0 antérieures à la version 7.0 U3m, vCenter Server versions 8.0 antérieures à la version 8.0 U1b",VMware annonce la correction de plusieurs vulnérabilités affectant ses produits susmentionnés. L'exploitation de ces vulnérabilités peut  permettre  à un attaquant distant de d’exécuter du code arbitraire ou d’accéder à des données confidentielles.,Veuillez se référer au bulletin de sécurité de VMware pour les mises à jour.,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-affectant-plusieurs-produits-de-vmware-0
Vulnérabilités dans le CMS Joomla,48301107/24,11 juillet 2024,Important,Important,"Joomla CMS versions 5.x antérieures à 5.1.2, Joomla CMS versions 4.x antérieures à 4.4.6, Joomla CMS versions 3.x antérieures à 3.10.16-elts",Plusieurs vulnérabilités ont été corrigées dans le CMS Joomla. L’exploitation de ces failles permet à un attaquant de porter atteinte à la confidentialité de données et de réussir une injection de code indirecte à distance (XSS).,Veuillez se référer au bulletin de sécurité Joomla du 09 juillet 2024 afin d’installer les nouvelles mises à jour.,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-dans-le-cms-joomla-1
Vulnérabilités critiques affectant Zabbix,51222811/24,28 novembre 2024,Critique,Critique,"Zabbix versions 6.0.0 - 6.0.33, Zabbix  versions 6.4.0 - 6.4.18, Zabbix versions 7.0.0 - 7.0.3",Zabbix annonce la disponibilité d’une mise à jour de sécurité permettant la correction  de deux vulnérabilités critiques affectant les versions susmentionnées de sa solution de supervision. L’exploitation de ces vulnérabilités peut permettre à un attaquant distant s’injecter du code SQL ou d’exécuter du code arbitraire.,Veuillez se référer aux bulletins de sécurité de Zabbix  pour installer les mises à jour.,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-critiques-affectant-zabbix
VULNÉRABILITÉ CRITIQUE DANS VEEAM BACKUP,39171011/22,10 novembre 2022,Important,Important,"contact-dsr@dgssi.gov.ma, Tél : +212 5 37 54 03 95, Fax : +212 5 37 71 39 73",Veeam annonce la correction d’une vulnérabilité critique affectant les solutions de backup « Veeam Backup » susmentionnées. L’exploitation de cette faille peut permettre à un attaquant de contourner les mécanismes d'authentification.,Veuillez se référer au bulletin de sécurité Veeam du 08 Novembre 2022 pour plus d’information.,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilite-critique-dans-veeam-backup
Vulnérabilités affectant des outils de développement Microsoft (Patch Tuesday Mars 2025),53201203/25,12 mars 2025,Important,Important,"WinDbg, Visual Studio Code, Microsoft Visual Studio 2022, ASP.NET Core",Microsoft annonce la correction de plusieurs vulnérabilités affectant ses outils de développement susmentionnés. L’exploitation de ces vulnérabilités peut permettre à un attaquant d’exécuter du code arbitraire à distance et de réussir une élévation de privilèges.,Veuillez se référer au bulletin de Microsoft afin d’installer les nouvelles mises à jour.,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-affectant-des-outils-de-developpement-microsoft-patch-tuesday-mars-2025
Vulnérabilité critique affectant le plugin «Essential Addons for Elementor» pour WordPress,41851205/23,12 mai 2023,Important,Critique,"Plugin «Essential Addons for Elementor», toutes les versions antérieures à la version 5.7.2",WordPress annonce la correction d’une vulnérabilité critique affectant le plugin « Essential Addons for Elementor». L’exploitation de cette vulnérabilité peut permettre à un attaquant distant d’accéder à des informations confidentielles.,Veuillez se référer à l’éditeur pour mettre à jour votre plugin.,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilite-critique-affectant-le-plugin-essential-addons-elementor-pour-wordpress
Vulnérabilités affectant le navigateur Google Chrome,43620709/23,07 septembre 2023,Important,Important,"Toutes les versions de Google Chrome antérieures aux versions 116.0.5845.179/.180 sur Windows, Toutes les versions de Google Chrome antérieures aux versions 116.0.5845.179 sur Linux, Toutes les versions de Google Chrome antérieures aux versions 116.0.5845.179 sur Mac",Google vient de publier une mise à jour de sécurité qui permet de corriger plusieurs vulnérabilités affectant le navigateur Google Chrome. L’exploitation de ces vulnérabilités peut permettre à un attaquant d’exécuter du code arbitraire ou d’accéder à des informations confidentielles.,Veuillez se référer au bulletin de Google afin d’installer les nouvelles mises à jour,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-affectant-le-navigateur-google-chrome-11
